edad_ingreso,promedio_academico,materias_reprobadas,distancia_hogar_ies_km,puntaje_icfes_percentil,sexo,estado_civil,zona_residencia,departamento,nivel_educativo_padre,nivel_educativo_madre,sector_ies,nivel_formacion,metodologia,area_conocimiento,semestre_cursado,estrato_socioeconomico,anio_registro,trabaja_mientras_estudia,beneficiario_icetex,beneficiario_beca
20,4.04,1,6.96,82,Mujer,Soltero,Urbana,Antioquia,Primaria,Tecnico,Privado,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",1,4,2022,0,1,0
19,4.4,1,4.78,90,Mujer,Soltero,Urbana,Córdoba,Universitario,Bachillerato,Publico,Tecnologico,Virtual,"Economia, administracion, contaduria y afines",9,3,2023,0,1,0
21,4.03,2,14.56,66,Hombre,Union libre,Urbana,Arauca,Bachillerato,Bachillerato,Publico,Universitario,Distancia tradicional,Ciencias de la salud,1,3,2024,1,0,0
15,3.99,0,1.4,46,Mujer,Soltero,Urbana,Cundinamarca,Bachillerato,Ninguno,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,2,2024,0,0,0
16,3.54,1,4.15,59,Hombre,Soltero,Rural,Cundinamarca,Bachillerato,Bachillerato,Publico,Universitario,Presencial,"Agronomia, veterinaria y afines",12,2,2021,0,1,1
19,3.65,1,3.92,62,Mujer,Soltero,Urbana,Sucre,Bachillerato,Bachillerato,Privado,Tecnologico,Distancia tradicional,"Economia, administracion, contaduria y afines",8,2,2024,1,1,0
20,4.0,1,1.38,59,Mujer,Soltero,Urbana,Bolívar,Bachillerato,Tecnico,Privado,Universitario,Presencial,Ciencias sociales y humanas,7,2,2024,0,1,0
15,3.71,1,6.54,66,Mujer,Soltero,Urbana,La Guajira,Tecnico,Posgrado,Privado,Tecnologico,Virtual,Bellas artes,4,5,2021,1,1,0
15,2.57,3,5.7,49,Hombre,Soltero,Urbana,Cundinamarca,Primaria,Posgrado,Privado,Tecnologico,Virtual,Ciencias de la salud,10,4,2021,1,0,0
22,2.07,0,25.29,43,Hombre,Soltero,Urbana,Antioquia,Posgrado,Primaria,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,6,2,2023,1,1,1
17,3.74,0,20.67,51,Hombre,Union libre,Rural,Norte de Santander,Ninguno,Tecnico,Privado,Tecnologico,Presencial,Ciencias de la salud,2,2,2021,0,1,1
15,3.26,3,20.28,60,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Publico,Tecnico profesional,Presencial,Ciencias de la educacion,5,3,2021,0,0,0
17,3.0,3,24.07,36,Mujer,Soltero,Urbana,Cundinamarca,Primaria,Posgrado,Publico,Tecnologico,Presencial,Ciencias de la salud,3,3,2024,1,0,0
19,3.29,0,4.55,47,Mujer,Soltero,Urbana,Valle del Cauca,Primaria,Primaria,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",10,2,2025,1,0,0
20,2.34,2,10.2,19,Mujer,Soltero,Urbana,Valle del Cauca,Primaria,Primaria,Privado,Universitario,Presencial,"Agronomia, veterinaria y afines",11,2,2024,0,1,1
24,4.09,0,5.07,87,Mujer,Union libre,Urbana,Bogotá D.C.,Posgrado,Ninguno,Publico,Universitario,Presencial,Ciencias sociales y humanas,8,3,2021,0,0,0
16,3.62,0,34.65,54,Hombre,Soltero,Urbana,Magdalena,Primaria,Primaria,Privado,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,2,2025,0,0,0
18,3.73,0,15.41,77,Hombre,Soltero,Urbana,Santander,Ninguno,Bachillerato,Privado,Universitario,Presencial,Ciencias sociales y humanas,2,3,2024,1,0,0
21,3.25,2,4.07,42,Hombre,Soltero,Urbana,Cundinamarca,Primaria,Bachillerato,Privado,Universitario,Presencial,Ciencias de la educacion,10,3,2022,1,0,1
20,4.38,0,20.23,97,Mujer,Soltero,Urbana,Magdalena,Universitario,Bachillerato,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",3,1,2025,1,0,0
16,3.57,0,105.21,57,Hombre,Soltero,Urbana,Córdoba,Universitario,Primaria,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",8,3,2024,0,0,0
16,3.09,0,11.52,59,Mujer,Soltero,Rural,Risaralda,Primaria,Tecnico,Publico,Universitario,Presencial,Bellas artes,12,4,2023,1,0,0
15,2.94,4,3.14,35,Mujer,Soltero,Rural,Bogotá D.C.,Bachillerato,Tecnico,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",3,2,2021,0,0,0
21,2.99,4,2.14,47,Mujer,Soltero,Rural,Bogotá D.C.,Universitario,Posgrado,Privado,Tecnologico,Presencial,Ciencias de la salud,12,4,2022,0,0,0
16,2.21,1,3.52,45,Hombre,Casado,Urbana,Valle del Cauca,Bachillerato,Bachillerato,Publico,Universitario,Presencial,Matematicas y ciencias naturales,6,2,2025,0,0,0
15,3.41,0,33.16,69,Hombre,Soltero,Urbana,Cundinamarca,Posgrado,Universitario,Privado,Tecnologico,Distancia tradicional,Ciencias de la salud,5,2,2024,1,1,0
26,3.17,1,3.28,36,Hombre,Casado,Urbana,Tolima,Primaria,Bachillerato,Privado,Universitario,Presencial,Ciencias de la educacion,11,2,2022,0,0,0
22,4.12,1,6.6,49,Mujer,Soltero,Rural,Nariño,Universitario,Bachillerato,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",11,1,2022,1,1,1
17,3.73,1,10.62,84,Mujer,Soltero,Urbana,Risaralda,Primaria,Universitario,Privado,Universitario,Virtual,Ciencias sociales y humanas,10,2,2025,0,1,0
17,2.33,1,5.49,35,Hombre,Soltero,Urbana,Córdoba,Tecnico,Universitario,Publico,Universitario,Presencial,Ciencias de la salud,2,6,2021,0,0,0
25,3.99,1,9.61,76,Hombre,Soltero,Urbana,Antioquia,Primaria,Bachillerato,Privado,Universitario,Virtual,Matematicas y ciencias naturales,2,2,2025,0,0,0
19,2.8,2,4.09,36,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Privado,Tecnico profesional,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",12,5,2025,0,0,0
21,2.84,5,16.08,50,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Universitario,Publico,Tecnico profesional,Presencial,Bellas artes,5,3,2021,1,0,1
16,3.26,1,7.77,46,Mujer,Soltero,Rural,Antioquia,Universitario,Universitario,Privado,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",4,3,2025,0,0,0
18,2.97,3,8.07,52,Mujer,Soltero,Urbana,Valle del Cauca,Bachillerato,Universitario,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",1,2,2022,0,0,0
24,4.09,1,12.58,53,Hombre,Soltero,Urbana,Atlántico,Posgrado,Ninguno,Publico,Tecnologico,Virtual,Ciencias de la educacion,7,2,2024,0,1,0
16,1.84,4,19.86,33,Hombre,Soltero,Urbana,Sucre,Primaria,Primaria,Publico,Tecnologico,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",9,3,2022,0,1,0
20,3.09,2,2.03,43,Mujer,Soltero,Urbana,Antioquia,Universitario,Tecnico,Privado,Tecnologico,Distancia tradicional,"Economia, administracion, contaduria y afines",6,4,2023,0,1,1
18,3.13,2,2.87,64,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Primaria,Privado,Tecnico profesional,Distancia tradicional,Ciencias de la educacion,9,4,2024,1,0,1
23,3.57,0,48.07,70,Mujer,Soltero,Urbana,Valle del Cauca,Primaria,Primaria,Publico,Universitario,Presencial,Ciencias sociales y humanas,11,3,2022,0,0,0
19,3.39,3,3.24,74,Mujer,Soltero,Urbana,Casanare,Primaria,Ninguno,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",1,2,2024,0,0,0
19,3.29,1,7.99,54,Mujer,Soltero,Urbana,Antioquia,Universitario,Primaria,Privado,Universitario,Distancia tradicional,Matematicas y ciencias naturales,12,3,2025,0,0,0
15,4.4,0,15.6,91,Hombre,Soltero,Rural,Bogotá D.C.,Bachillerato,Tecnico,Publico,Universitario,Presencial,Ciencias sociales y humanas,1,5,2022,0,0,0
18,2.64,1,8.08,32,Mujer,Soltero,Urbana,Boyacá,Primaria,Bachillerato,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",7,1,2022,0,0,0
25,1.76,3,10.44,14,Hombre,Soltero,Urbana,Huila,Tecnico,Tecnico,Publico,Universitario,Presencial,"Agronomia, veterinaria y afines",7,2,2023,0,0,0
19,3.54,0,11.58,74,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Matematicas y ciencias naturales,2,5,2024,1,0,0
21,2.84,1,5.54,20,Mujer,Soltero,Rural,Bogotá D.C.,Universitario,Universitario,Publico,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,4,2023,0,0,0
22,3.68,0,2.89,49,Mujer,Soltero,Urbana,Cesar,Posgrado,Bachillerato,Privado,Universitario,Virtual,"Economia, administracion, contaduria y afines",3,1,2025,1,0,0
17,4.29,0,43.86,58,Hombre,Soltero,Urbana,Antioquia,Bachillerato,Primaria,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",11,1,2024,0,0,0
15,3.05,1,3.44,58,Hombre,Soltero,Urbana,Bogotá D.C.,Universitario,Tecnico,Publico,Universitario,Virtual,"Agronomia, veterinaria y afines",6,3,2025,1,0,0
24,3.24,2,23.52,56,Mujer,Soltero,Urbana,Bogotá D.C.,Primaria,Universitario,Publico,Universitario,Presencial,Ciencias de la salud,2,4,2025,1,0,0
20,3.31,0,4.41,66,Hombre,Soltero,Urbana,Sucre,Bachillerato,Ninguno,Publico,Universitario,Presencial,Ciencias de la salud,12,2,2023,0,0,0
21,3.94,0,25.27,90,Hombre,Union libre,Urbana,Bogotá D.C.,Ninguno,Primaria,Privado,Universitario,Presencial,Ciencias de la educacion,2,2,2024,0,1,0
20,2.87,0,4.41,42,Mujer,Casado,Urbana,Boyacá,Tecnico,Primaria,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,3,2024,0,0,0
21,3.88,1,23.21,40,Mujer,Union libre,Urbana,Quindío,Tecnico,Universitario,Privado,Universitario,Presencial,Ciencias de la salud,5,1,2023,0,0,0
24,3.95,0,18.12,90,Hombre,Soltero,Urbana,Valle del Cauca,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Ciencias de la salud,2,1,2024,1,0,0
18,3.05,0,9.42,57,Hombre,Soltero,Urbana,Nariño,Universitario,Bachillerato,Publico,Tecnico profesional,Presencial,Ciencias de la educacion,7,2,2023,1,0,0
21,3.27,2,14.19,51,Mujer,Soltero,Urbana,Tolima,Bachillerato,Universitario,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",2,2,2023,0,0,1
23,3.35,1,7.64,47,Mujer,Soltero,Rural,Bogotá D.C.,Ninguno,Bachillerato,Publico,Tecnico profesional,Presencial,"Economia, administracion, contaduria y afines",1,3,2025,1,0,0
18,3.98,0,0.32,79,Mujer,Soltero,Urbana,Valle del Cauca,Primaria,Primaria,Publico,Universitario,Virtual,Ciencias de la salud,7,5,2023,1,0,0
21,2.79,2,6.52,55,Hombre,Soltero,Urbana,Cundinamarca,Primaria,Primaria,Privado,Tecnologico,Presencial,Ciencias de la educacion,9,1,2025,1,1,1
21,3.82,0,1.26,86,Mujer,Soltero,Rural,Nariño,Primaria,Primaria,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",3,4,2023,0,0,0
15,3.66,1,31.51,76,Mujer,Casado,Urbana,Santander,Primaria,Posgrado,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",9,3,2024,0,0,0
23,3.17,2,2.7,40,Hombre,Soltero,Urbana,Huila,Bachillerato,Universitario,Publico,Tecnologico,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",11,3,2024,1,1,0
19,3.65,1,13.67,68,Mujer,Soltero,Urbana,Atlántico,Universitario,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,3,2021,0,0,1
19,2.75,0,1.17,43,Mujer,Union libre,Urbana,Cundinamarca,Bachillerato,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",3,2,2025,0,1,0
16,4.23,0,4.64,69,Hombre,Soltero,Rural,Valle del Cauca,Universitario,Primaria,Publico,Universitario,Presencial,Ciencias de la educacion,11,1,2024,0,1,0
17,4.17,0,3.86,54,Mujer,Soltero,Urbana,Valle del Cauca,Bachillerato,Tecnico,Publico,Universitario,Virtual,"Economia, administracion, contaduria y afines",11,3,2025,1,0,0
25,2.19,4,10.25,19,Hombre,Soltero,Urbana,Magdalena,Ninguno,Universitario,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",5,2,2022,0,0,1
17,3.75,1,13.84,57,Mujer,Soltero,Urbana,Bogotá D.C.,Universitario,Primaria,Publico,Tecnico profesional,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,2,2023,0,0,1
22,2.73,2,43.68,28,Mujer,Union libre,Urbana,Sucre,Bachillerato,Universitario,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,1,2021,0,1,1
19,3.48,1,8.62,65,Hombre,Soltero,Rural,Bolívar,Bachillerato,Bachillerato,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",10,3,2022,0,0,0
20,2.19,3,6.05,24,Mujer,Soltero,Urbana,La Guajira,Bachillerato,Bachillerato,Publico,Tecnico profesional,Presencial,"Agronomia, veterinaria y afines",6,3,2025,1,1,1
25,2.79,1,5.74,32,Hombre,Otro,Urbana,Caldas,Primaria,Universitario,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",6,2,2024,0,1,0
15,2.8,0,11.15,50,Mujer,Soltero,Urbana,Huila,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Ciencias de la educacion,10,2,2021,0,0,1
21,3.42,1,14.69,60,Mujer,Union libre,Rural,Antioquia,Ninguno,Universitario,Privado,Universitario,Virtual,Ciencias sociales y humanas,12,3,2025,0,0,0
15,3.26,0,7.82,67,Hombre,Soltero,Urbana,Atlántico,Primaria,Bachillerato,Privado,Tecnologico,Virtual,Ciencias de la salud,10,3,2024,1,0,0
23,2.93,2,1.78,45,Mujer,Soltero,Urbana,Chocó,Primaria,Primaria,Publico,Universitario,Presencial,Ciencias de la salud,10,1,2022,1,0,0
26,2.73,3,1.15,48,Mujer,Casado,Urbana,Tolima,Primaria,Bachillerato,Publico,Tecnologico,Virtual,Bellas artes,1,4,2025,0,0,1
23,3.27,1,7.08,68,Hombre,Union libre,Urbana,Atlántico,Tecnico,Bachillerato,Privado,Universitario,Presencial,Bellas artes,4,4,2022,0,0,0
25,3.05,2,2.41,46,Hombre,Soltero,Urbana,Cundinamarca,Ninguno,Bachillerato,Privado,Tecnologico,Distancia tradicional,Ciencias sociales y humanas,3,1,2025,0,0,1
20,3.65,1,2.6,70,Mujer,Casado,Rural,Chocó,Primaria,Universitario,Privado,Universitario,Virtual,Ciencias de la educacion,6,4,2024,1,0,0
15,3.49,1,22.56,93,Hombre,Casado,Urbana,Bogotá D.C.,Universitario,Bachillerato,Privado,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",1,3,2025,1,0,0
15,3.96,0,0.93,70,Mujer,Soltero,Urbana,Cauca,Primaria,Bachillerato,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",8,2,2024,1,0,0
23,3.96,0,2.85,62,Hombre,Otro,Urbana,Bogotá D.C.,Universitario,Universitario,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,3,2024,1,0,0
16,2.8,1,4.41,50,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Primaria,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,8,2,2025,0,0,0
22,3.79,2,17.12,53,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Ciencias sociales y humanas,4,3,2024,0,0,0
21,2.97,1,27.51,35,Mujer,Soltero,Rural,Córdoba,Tecnico,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",3,2,2025,0,0,0
18,4.62,0,1.16,86,Hombre,Soltero,Urbana,Nariño,Bachillerato,Bachillerato,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,3,5,2021,1,0,0
15,3.19,0,3.48,71,Hombre,Soltero,Urbana,Huila,Primaria,Bachillerato,Publico,Universitario,Presencial,Ciencias de la salud,5,1,2021,0,0,0
18,3.97,0,122.09,68,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Bachillerato,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",11,2,2024,0,1,0
16,3.18,3,3.64,37,Mujer,Union libre,Rural,Bogotá D.C.,Primaria,Ninguno,Publico,Tecnologico,Virtual,"Ingenieria, arquitectura, urbanismo y afines",8,2,2022,0,0,0
17,5.0,0,16.92,100,Hombre,Casado,Urbana,Antioquia,Bachillerato,Primaria,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",12,3,2025,0,0,0
20,3.67,0,8.59,74,Mujer,Soltero,Rural,Valle del Cauca,Bachillerato,Tecnico,Privado,Tecnico profesional,Presencial,Matematicas y ciencias naturales,8,2,2025,0,0,0
22,4.31,1,8.07,75,Mujer,Soltero,Urbana,Nariño,Primaria,Primaria,Publico,Universitario,Virtual,"Economia, administracion, contaduria y afines",8,4,2022,0,0,1
20,4.11,0,10.63,74,Hombre,Soltero,Rural,Antioquia,Ninguno,Bachillerato,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",5,2,2023,0,1,0
24,4.12,0,11.78,78,Hombre,Soltero,Urbana,Antioquia,Tecnico,Bachillerato,Publico,Universitario,Presencial,"Agronomia, veterinaria y afines",10,1,2023,0,1,0
18,1.93,1,13.5,27,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,2,2024,0,0,0
19,4.28,0,8.04,76,Hombre,Soltero,Urbana,Atlántico,Ninguno,Bachillerato,Privado,Universitario,Presencial,Ciencias sociales y humanas,1,4,2021,1,0,0
23,3.76,1,19.45,77,Hombre,Soltero,Urbana,Santander,Primaria,Tecnico,Privado,Universitario,Distancia tradicional,Ciencias de la salud,5,2,2021,0,0,0
16,2.74,2,14.04,58,Hombre,Otro,Rural,Valle del Cauca,Tecnico,Primaria,Privado,Tecnologico,Presencial,Ciencias de la educacion,6,2,2024,0,1,0
21,3.54,1,4.01,72,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Bachillerato,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,11,2,2024,1,1,0
15,3.63,1,6.27,30,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Primaria,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",2,2,2023,1,0,0
24,3.53,0,15.95,61,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Posgrado,Privado,Universitario,Distancia tradicional,Matematicas y ciencias naturales,6,5,2023,0,0,0
20,2.63,3,5.05,63,Hombre,Soltero,Urbana,Antioquia,Primaria,Bachillerato,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",6,2,2021,0,0,0
22,3.21,3,27.43,40,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Bachillerato,Privado,Tecnologico,Distancia tradicional,Matematicas y ciencias naturales,10,2,2023,1,0,0
20,3.58,0,11.61,51,Mujer,Soltero,Rural,Bogotá D.C.,Bachillerato,Tecnico,Privado,Universitario,Virtual,Matematicas y ciencias naturales,8,2,2023,0,1,0
18,2.83,0,4.77,32,Hombre,Soltero,Rural,Chocó,Tecnico,Bachillerato,Privado,Tecnologico,Presencial,Ciencias sociales y humanas,8,5,2024,1,0,0
21,3.0,2,11.83,35,Hombre,Soltero,Urbana,Valle del Cauca,Primaria,Tecnico,Privado,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",4,6,2022,0,0,0
22,3.07,1,5.69,50,Hombre,Soltero,Rural,Valle del Cauca,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Ciencias sociales y humanas,12,1,2025,0,0,0
20,2.86,0,7.48,29,Mujer,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Publico,Tecnologico,Presencial,Ciencias de la educacion,6,2,2021,0,0,1
21,3.19,1,3.29,52,Mujer,Soltero,Urbana,Valle del Cauca,Primaria,Bachillerato,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,4,2,2025,0,1,0
17,2.5,2,29.64,31,Mujer,Soltero,Urbana,Risaralda,Tecnico,Primaria,Privado,Tecnico profesional,Presencial,"Ingenieria, arquitectura, urbanismo y afines",11,2,2024,0,0,1
16,2.76,1,18.26,59,Mujer,Soltero,Urbana,Tolima,Primaria,Ninguno,Publico,Universitario,Presencial,Ciencias sociales y humanas,9,4,2023,0,1,0
22,4.43,0,7.95,88,Mujer,Soltero,Urbana,Arauca,Primaria,Tecnico,Publico,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",2,2,2025,1,0,0
22,2.43,0,1.38,35,Mujer,Soltero,Urbana,Antioquia,Tecnico,Universitario,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",11,3,2023,0,0,0
15,3.92,0,15.17,79,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Universitario,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",3,1,2025,0,0,1
19,4.31,0,6.78,76,Hombre,Soltero,Urbana,Antioquia,Tecnico,Universitario,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",12,1,2024,0,0,0
22,2.65,2,5.01,41,Mujer,Soltero,Urbana,Nariño,Universitario,Bachillerato,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",10,3,2022,1,0,0
18,4.32,0,18.69,80,Mujer,Union libre,Rural,Bogotá D.C.,Primaria,Primaria,Privado,Universitario,Virtual,"Economia, administracion, contaduria y afines",2,4,2023,0,0,0
20,4.25,0,1.87,46,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Primaria,Privado,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",11,2,2024,1,1,1
17,3.86,0,38.78,74,Hombre,Soltero,Urbana,Atlántico,Primaria,Primaria,Privado,Universitario,Presencial,Ciencias de la salud,10,2,2022,0,0,0
22,2.99,4,5.15,47,Hombre,Soltero,Rural,Santander,Ninguno,Primaria,Privado,Universitario,Presencial,Ciencias de la educacion,6,3,2024,0,0,0
18,1.51,3,0.76,17,Hombre,Union libre,Urbana,Cundinamarca,Universitario,Bachillerato,Publico,Tecnico profesional,Presencial,Ciencias sociales y humanas,5,4,2024,0,0,0
15,2.55,1,10.88,17,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Primaria,Privado,Tecnico profesional,Presencial,Ciencias de la salud,7,2,2023,0,0,0
18,3.47,2,3.45,52,Mujer,Soltero,Urbana,Bogotá D.C.,Primaria,Universitario,Privado,Universitario,Virtual,"Economia, administracion, contaduria y afines",6,1,2023,1,0,1
22,2.63,1,3.69,41,Hombre,Soltero,Rural,Bolívar,Universitario,Posgrado,Privado,Tecnico profesional,Presencial,"Ingenieria, arquitectura, urbanismo y afines",7,1,2025,1,0,1
20,2.98,0,1.01,36,Hombre,Soltero,Urbana,Bogotá D.C.,Universitario,Primaria,Privado,Tecnologico,Presencial,Ciencias sociales y humanas,8,3,2023,0,1,1
17,2.14,3,3.51,45,Hombre,Soltero,Urbana,Antioquia,Primaria,Primaria,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",7,2,2024,0,0,0
20,3.66,1,21.17,60,Hombre,Soltero,Urbana,Santander,Ninguno,Bachillerato,Privado,Tecnologico,Distancia tradicional,"Agronomia, veterinaria y afines",1,3,2024,0,0,0
16,3.9,0,3.96,53,Hombre,Casado,Urbana,Valle del Cauca,Primaria,Primaria,Privado,Tecnologico,Presencial,Ciencias sociales y humanas,11,3,2023,0,0,0
21,2.78,6,10.73,69,Mujer,Soltero,Urbana,Boyacá,Tecnico,Bachillerato,Privado,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",8,3,2024,0,1,0
24,4.02,1,21.28,54,Mujer,Soltero,Urbana,La Guajira,Bachillerato,Ninguno,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",9,1,2023,0,0,0
21,3.36,2,1.98,67,Hombre,Soltero,Rural,Boyacá,Primaria,Universitario,Privado,Universitario,Virtual,Ciencias de la salud,9,2,2021,1,0,0
23,3.45,2,9.55,69,Mujer,Soltero,Urbana,Bolívar,Bachillerato,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",11,4,2024,1,0,0
24,3.76,2,7.05,69,Mujer,Soltero,Rural,Casanare,Primaria,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",9,2,2024,0,0,0
17,3.98,1,3.64,80,Hombre,Soltero,Urbana,Antioquia,Bachillerato,Bachillerato,Privado,Universitario,Virtual,Ciencias sociales y humanas,10,2,2022,0,0,0
